word,POS,tag
is,VBZ,O
deducted,VBN,O
an,DT,O
accounting,NN,O
and,CC,O
verification,NN,O
of,IN,O
the,DT,O
reasonableness,NN,O
of,IN,O
the,DT,O
deduction,NN,O
will,MD,O
be,VB,O
provided,VBN,O
SOS,NNP,O
The,DT,O
security,NN,O
deposit,NN,O
may,MD,O
be,VB,O
used,VBN,O
for,IN,O
the,DT,O
purpose,NN,O
of,IN,O
repairing,VBG,O
damage,NN,O
for,IN,O
which,WDT,O
the,DT,O
tenant,NN,O
is,VBZ,O
responsible,JJ,O
beyond,IN,O
normal,JJ,O
wear,JJ,O
and,CC,O
tear,JJ,O
cleaning,NN,O
or,CC,O
paying,VBG,O
unpaid,JJ,O
rent,NN,O
or,CC,O
utilities,VBZ,O
The,DT,O
landlord,NN,O
and,CC,O
the,DT,O
tenant,NN,O
shall,MD,O
conduct,VB,O
a,DT,O
pre,NN,O
move,NN,O
out,IN,O
inspection,NN,O
of,IN,O
the,DT,O
rental,NN,O
BEFORE,IN,O
the,DT,O
tenant,NN,O
moves,VBZ,O
out,RP,O
at,IN,O
which,WDT,O
time,NN,O
the,DT,O
landlord,NN,O
shall,MD,O
inform,VB,O
die,NN,O
tenant,NN,O
of,IN,O
needed,VBN,O
repairs,NNS,O
and,CC,O
or,CC,O
cleaning,VBG,O
in,IN,O
WRITING,NNP,O
The,DT,O
tenant,NN,O
shall,MD,O
have,VB,O
the,DT,O
right,NN,O
to,TO,O
make,VB,O
any,DT,O
repairs,NNS,O
identified,VBN,O
at,IN,O
the,DT,O
pre,NN,O
move,NN,O
out,IN,O
inspection,NN,O
at,IN,O
his,PRP$,O
or,CC,O
her,PRP$,O
expense,NN,O
before,IN,O
the,DT,O
move,NN,O
out,RB,O
date,NN,O
without,IN,O
deduction,NN,O
from,IN,O
the,DT,O
security,NN,O
deposit,NN,O
Within,NNP,O
three,CD,O
weeks,NNS,O
after,IN,O
the,DT,O
tenant,NN,O
moves,VBZ,O
out,RP,O
die,JJ,O
landlord,NN,O
shall,MD,O
return,VB,O
the,DT,O
deposit,NN,O
to,TO,O
the,DT,O
tenant,NN,O
widi,NN,O
accrued,VBN,O
interest,NN,O
less,RBR,O
any,DT,O
deductions,NNS,O
if,IN,O
any,DT,O
the,DT,O
landlord,NN,O
is,VBZ,O
entided,VBN,O
to,TO,O
under,IN,O
diis,NN,O
agreement,NN,O
If,IN,O
any,DT,O
deductions,NNS,O
are,VBP,O
made,VBN,O
the,DT,O
landlord,NN,O
shall,MD,O
provide,VB,O
the,DT,O
tenant,NN,O
with,IN,O
a,DT,O
written,VBN,O
itemized,JJ,O
statement,NN,O
of,IN,O
expenses,NNS,O
and,CC,O
receipts,NNS,O
for,IN,O
cleaning,NN,O
or,CC,O
repairs,NNS,O
for,IN,O
which,WDT,O
deductions,NNS,O
were,VBD,O
made,VBN,O
from,IN,O
the,DT,O
deposit,NN,O
SOS,NNP,O
This,DT,O
residence,NN,O
being,VBG,O
in,IN,O
the,DT,O
County,NNP,O
of,IN,O
Santa,NNP,O
Cruz,NNP,O
with,IN,O
the,DT,O
exception,NN,O
of,IN,O
Scotts,NNP,O
Valley,NNP,O
simple,JJ,O
interest,NN,O
will,MD,O
be,VB,O
paid,VBN,O
annually,RB,O
on,IN,O
the,DT,O
security,NN,O
deposit,NN,O
and,CC,O
or,CC,O
last,JJ,O
month,NN,O
s,VBD,O
rent,NN,O
to,TO,O
the,DT,O
tenant,NN,O
pursuant,NN,O
to,TO,O
current,JJ,O
local,JJ,O
ordinance,NN,O
SOS,NNP,O
Other,JJ,O
Agreements,NNP,O
SOS,NNP,O
Landlord,NNP,O
Inns,NNP,O
tii,NN,O
e,NN,O
trirjhh,NN,O
tz,NN,O
ftRm,NN,O
nc,JJ,O
p,NN,O
dht,NN,O
Cnnbr,NNP,O
cJ,NN,O
SOS,NNP,O
miuj,NN,O
Ume,NNP,O
tif,NN,O
tdecant,NN,O
t,NN,O
liJs,NN,O
tk,NN,O
trm,NN,O
f,NN,O
on,IN,O
ntlruc,JJ,O
ar,NN,O
SOS,NNP,O
LloUlIc,NNP,O
cwj,NN,O
to,TO,O
h,VB,O
e,JJ,O
tn,NNS,O
Lnve,NNP,O
SOS,NNP,O
Fill,NNP,O
out,RP,O
a,DT,O
or,CC,O
b,NN,O
as,IN,O
it,PRP,O
appliesoto,VBZ,O
youf,JJ,O
situation,NN,O
SOS,NNP,O
D,NNP,O
A,NNP,O
Principal,NNP,O
Tenant,NNP,O
D,NNP,O
will,MD,O
H,NNP,O
bias,VB,O
provided,VBN,O
tenant,NN,O
a,DT,O
copy,NN,O
of,IN,O
the,DT,O
Condition,NNP,O
of,IN,O
Rental,NNP,O
Property,NNP,O
Checklist,NNP,O
completed,VBD,O
when,WRB,O
houXehold,NN,O
first,RB,O
moved,VBN,O
in,IN,O
SOS,NNP,O
Megan,NNP,O
xe2,NNP,O
x80,NNP,O
x99s,NNP,O
Law,NNP,O
SOS,NNP,O
xe2,NNP,O
x80,NNP,O
x9cPursuant,NNP,O
To,TO,O
Section,NNP,O
290,CD,O
46,CD,O
of,IN,O
Mie,NNP,O
Penal,NNP,O
Code,NNP,O
in,IN,O
ormation,NN,O
about,IN,O
specified,VBN,O
registered,JJ,O
sex,NN,O
offenders,NNS,O
is,VBZ,O
made,VBN,O
available,JJ,O
to,TO,O
the,DT,O
public,JJ,O
via,IN,O
an,DT,O
Internet,NNP,O
Web,NNP,O
site,NN,O
tnmntained,VBN,O
by,IN,O
the,DT,O
Department,NNP,O
of,IN,O
Justice,NNP,O
at,IN,O
www,NN,O
meganslaw,NN,O
ca,MD,O
gov,VB,O
Depending,VBG,O
on,IN,O
an,DT,O
offender,NN,O
xe2,NN,O
x80,NNP,O
x99,NNP,O
criminal,JJ,O
history,NN,O
this,DT,O
information,NN,O
will,MD,O
include,VB,O
either,CC,O
the,DT,O
address,NN,O
at,IN,O
which,WDT,O
the,DT,O
offender,NN,O
resides,VBZ,O
or,CC,O
the,DT,O
community,NN,O
of,IN,O
residence,NN,O
and,CC,O
ZIP,NNP,O
Code,NNP,O
in,IN,O
which,WDT,O
he,PRP,O
or,CC,O
she,PRP,O
resides,VBZ,O
xe2,JJ,O
x80,NNP,O
x9d,NNP,O
SOS,NNP,O
Lead,NNP,O
Based,VBD,O
Paint,NNP,O
Disclosure,NNP,O
SOS,NNP,O
Tenant,NNP,O
s,VBD,O
acknowledge,RP,O
s,JJ,O
ece,NN,O
pt,NN,O
of,IN,O
xe2,NNP,O
x80,NNP,O
x9cDisclosure,NN,O
of,IN,O
Information,NNP,O
on,IN,O
Lead,NNP,O
Based,VBD,O
Paint,NNP,O
or,CC,O
Lead,NNP,O
SOS,NNP,O
Based,VBD,O
Paint,NNP,O
Hazards,NNP,O
xe2,NNP,O
x80,NNP,O
x9d,NN,O
from,IN,O
landlord,NN,O
agent,NN,O
YRequired,NNP,O
for,IN,O
homes,NNS,O
built,VBN,O
before,IN,O
1978,CD,O
Available,JJ,O
online,NN,O
at,IN,O
SOS,NNP,O
http,NN,O
www,NN,O
epa,NN,O
gov,NN,O
lead,NN,O
pubs,NN,O
Jesr_eng,NNP,O
pdf,NN,O
SOS,NNP,O
Tenant,NNP,O
s,VBD,O
acknowledge,JJ,O
receipt,NN,O
of,IN,O
the,DT,O
pamphlet,NN,O
Protect,NNP,O
Your,NNP,O
Family,RB,O
from,IN,O
Lead,NNP,O
in,IN,O
Your,NNP,O
Home,NNP,O
SOS,NNP,O
Required,NNP,O
for,IN,O
homes,NNS,O
built,VBN,O
before,IN,O
1978,CD,O
Landlord,NNP,O
may,MD,O
call,VB,O
1,CD,O
800,CD,O
424,CD,O
LEAD,NN,O
or,CC,O
go,VB,O
to,TO,O
http,VB,O
www,JJ,O
epa,NNS,O
gov,VBP,O
lead,JJ,O
mibs,NN,O
leadpdfe,JJ,O
pdf,NN,O
to,TO,O
obtain,VB,O
a,DT,O
copy,NN,O
of,IN,O
the,DT,O
pamphlet,NN,O
SOS,NNP,O
SOS,NNP,O
SOS,NNP,O
SOS,NNP,O
SOS,NNP,O
SOS,NNP,O
SOS,NNP,O
SOS,NNP,O
SOS,NNP,O
SOS,NNP,O
SOS,NNP,O
TENANCY,NNP,O
AGREEMENT,NNP,O
SOS,NNP,O
SOS,NNP,O
This,DT,O
Tenancy,NNP,O
Agreement,NNP,O
is,VBZ,O
made,VBN,O
and,CC,O
executed,VBN,O
at,IN,O
Bangalore,NNP,O
on,IN,O
this,DT,O
22,CD,O
1,CD,O
2013,CD,O
by,IN,O
SOS,NNP,O
MR,NNP,B-partyone
P,NNP,I-partyone
RAJA,NNP,I-partyone
SEKHAR,NNP,I-partyone
AGED,NNP,O
ABOUT,NNP,O
28,CD,O
YRS,NNP,O
SOS,NNP,O
S,NNP,O
0,CD,O
MR,NNP,B-partytwo
KRISHNA,NNP,I-partytwo
PARAMATMA,NNP,I-partytwo
PENTAKOTA,NNP,I-partytwo
R,NNP,I-partytwo
at,IN,O
NESTER,NNP,O
RAGA,NNP,O
B,NNP,O
502,CD,O
SOS,NNP,O
OPP,NNP,O
MORE,NNP,O
MEGA,NNP,O
STORE,NNP,O
BANGALORE,NNP,O
560,CD,O
48,CD,O
SOS,NNP,O
Hereinafter,NNP,O
called,VBD,O
the,DT,O
OWNER,NNP,O
of,IN,O
the,DT,O
One,NNP,O
Part,NNP,O
AND,NNP,O
SOS,NNP,O
MR,NNP,O
VENKATA,NNP,O
BHYRAVA,NNP,O
MURTHY,NNP,O
MUTNURI,NNP,O
P,NNP,O
at,IN,O
NO,NNP,O
17,CD,O
2,CD,O
16,CD,O
l,NN,O
EERABHARAPURAM,NNP,O
AGED,NNP,O
ABOUT,NNP,O
26,CD,O
YRS,NNP,O
tRAOAHMUNDRY,NN,O
ANDHRA,NNP,O
PRADESH,NNP,O
SOS,NNP,O
S,NNP,O
n,MD,O
MR,NNP,O
RAGHAVENDRA,NNP,O
RAO,NNP,O
t533105,NN,O
SOS,NNP,O
W,NNP,O
at,IN,O
CODINZANT,NNP,O
TECHNOLOGIES,NNP,O
BVT,NNP,O
LTD,NNP,O
BANGALORE,NNP,O
SOS,NNP,O
Hereinafter,NNP,O
called,VBD,O
the,DT,O
xe2,NNP,O
x80,NNP,O
x98TENANT,NNP,O
of,IN,O
the,DT,O
Other,JJ,O
Part,NNP,O
SOS,NNP,O
The,DT,O
terms,NNS,O
Owner,NNP,O
and,CC,O
Tenant,NNP,O
shall,MD,O
mean,VB,O
and,CC,O
include,VBP,O
their,PRP$,O
heirs,JJ,O
legal,JJ,O
representatives,NNS,O
administrators,NNS,O
assigns,NNS,O
of,IN,O
their,PRP$,O
respective,JJ,O
parts,NNS,O
as,IN,O
parties,NNS,O
themselves,PRP,O
wherever,VBP,O
the,DT,O
context,NN,O
admits,NNS,O
and,CC,O
includes,VBZ,O
the,DT,O
same,JJ,O
SOS,NNP,O
Whereas,NNP,O
the,DT,O
Owner,NNP,O
is,VBZ,O
the,DT,O
sole,JJ,O
and,CC,O
absolute,JJ,O
owner,NN,O
of,IN,O
the,DT,O
SOS,NNP,O
Residential,NNP,O
property,NN,O
which,WDT,O
is,VBZ,O
morefully,RB,O
descrmed,VBN,O
in,IN,O
the,DT,O
schedule,NN,O
hereunder,NN,O
and,CC,O
at,IN,O
the,DT,O
enjoyment,NN,O
of,IN,O
the,DT,O
owner,NN,O
Whereas,IN,O
the,DT,O
Tenant,NNP,O
for,IN,O
want,NN,O
of,IN,O
Residential,NNP,O
tpurpose,NN,O
approached,VBD,O
the,DT,O
SOS,NNP,O
owner,NN,O
to,TO,O
let,VB,O
out,RP,O
the,DT,O
premises,NNS,O
on,IN,O
monthly,JJ,O
rental,NN,O
and,CC,O
the,DT,O
owner,NN,O
agreed,VBD,O
for,IN,O
the,DT,O
same,JJ,O
under,IN,O
the,DT,O
following,JJ,O
terms,NNS,O
and,CC,O
conditions,NNS,O
SOS,NNP,O
SOS,NNP,O
SOS,NNP,O
SOS,NNP,O
2,CD,O
SOS,NNP,O
NOW,NNP,O
THIS,NNP,O
